stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
62:27506,62:27506,"LE TOUQUET-PARIS-PLAGE - Lycée Hôtelier du Touquet","",50.518213,1.5961,,,0,STOPAREA:62:8782,,
62:27508,62:27508,"ARRAS - Pont de Cité - Rue Paul Adam","",50.292953,2.767898,,,0,STOPAREA:62:5715,,
62:27509,62:27509,"ARRAS - Pont de Cité - Rue du 29 Juillet","",50.292771,2.768264,,,0,STOPAREA:62:5715,,
62:27510,62:27510,"BIACHE-SAINT-VAAST - Château d'Eau - Cité Pompei - N°1","",50.313871,2.934635,,,0,STOPAREA:62:6068,,
62:27511,62:27511,"BIACHE-SAINT-VAAST - Château d'Eau - Cité Pompei","",50.313904,2.93465,,,0,STOPAREA:62:6068,,
62:27512,62:27512,"VITRY-EN-ARTOIS - Rue de Sailly en Otrevent - Abri","",50.322344,2.982678,,,0,STOPAREA:62:8935,,
62:27513,62:27513,"VITRY-EN-ARTOIS - Rue de Sailly en Otrevent","",50.322342,2.982739,,,0,STOPAREA:62:8935,,
62:27514,62:27514,"VITRY-EN-ARTOIS - Rue du Midi - N°20 - Abri","",50.322119,2.985755,,,0,STOPAREA:62:8937,,
62:27515,62:27515,"VITRY-EN-ARTOIS - Rue du Midi - F N°22","",50.322142,2.985897,,,0,STOPAREA:62:8937,,
62:27516,62:27516,"VITRY-EN-ARTOIS - Rue des Meuniers - F N°2","",50.328008,2.986739,,,0,STOPAREA:62:8936,,
62:27517,62:27517,"VITRY-EN-ARTOIS - Rue des Meuniers - N°2","",50.327862,2.986828,,,0,STOPAREA:62:8936,,
62:27518,62:27518,"VITRY-EN-ARTOIS - Jean Jaurès - F N°71 - Abri","",50.332688,2.985196,,,0,STOPAREA:62:8933,,
62:27519,62:27519,"VITRY-EN-ARTOIS - Jean Jaurès - Ecole - Abri","",50.332278,2.985121,,,0,STOPAREA:62:8933,,
62:27520,62:27520,"BREBIERES - Cité Bonsecours - F Abri","",50.333109,3.024754,,,0,STOPAREA:62:6241,,
62:27521,62:27521,"BREBIERES - Cité Bonsecours - Abri","",50.33315,3.024762,,,0,STOPAREA:62:6241,,
62:27522,62:27522,"BREBIERES - Les Alliés - N°557","",50.331982,3.028896,,,0,STOPAREA:62:6248,,
62:27523,62:27523,"BREBIERES - Les Alliés - N°544","",50.331801,3.028892,,,0,STOPAREA:62:6248,,
62:27524,62:27524,"BREBIERES - Place des Héros - Mairie","",50.33758,3.023164,,,0,STOPAREA:62:6245,,
62:27526,62:27526,"BREBIERES - Place des Héros - F N°27","",50.337959,3.022675,,,0,STOPAREA:62:6245,,
62:27528,62:27528,"ARRAS - Square Frachon - N°28","",50.287324,2.775494,,,0,STOPAREA:62:5722,,
62:27573,62:27573,"ECUIRES - Coll Bras d'Or - Ent Principale","",50.455203,1.758644,,,0,STOPAREA:62:6756,,
62:27574,62:27574,"DUISANS - Carrefour Poitou","",50.306253,2.708793,,,0,STOPAREA:62:6704,,
62:27575,62:27575,"DUISANS - Rue de la Fontaine - F N°48","",50.305568,2.693824,,,0,STOPAREA:62:6708,,
62:27576,62:27576,"DUISANS - Rue de la Fontaine - N°54 - Abri","",50.305096,2.694611,,,0,STOPAREA:62:6708,,
62:27577,62:27577,"DUISANS - Carrefour Poitou - Abri","",50.305526,2.711721,,,0,STOPAREA:62:6704,,
