stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
02:00818,02:00818,"CHARTEVES - FACE ABRI","",49.07516,3.50358,,,0,,,
02:00820,02:00820,"MONT ST P. - ABRI DEMI LUNE","",49.07475,3.48865,,,0,,,
02:00824,02:00824,"GLAND - FRAICHE FONTAINE","",49.04622,3.4512,,,0,,,
02:00825,02:00825,"BRASLES - MAIRIE","",49.04788,3.42663,,,0,,,
02:00830,02:00830,"BARZY S/ M. - ABRI","",49.08685,3.55159,,,0,,,
02:00831,02:00831,"JAULGONNE - ABRI PLACE DU PUITS","",49.08824,3.53576,,,0,,,
02:00837,02:00837,"CHATEAU T. - PLACE LECLERC","",49.04211,3.40358,,,0,,,
02:00838,02:00838,"CHATEAU T. - PLACE PAUL DOUMER","",49.04059,3.40469,,,0,,,
02:00840,02:00840,"MONT ST P. - ECLUSE","",49.06944,3.48233,,,0,,,
02:00843,02:00843,"CIRY SALSOGNE - ECOLES","",49.3621,3.4649,,,0,,,
02:00846,02:00846,"SERMOISE - EGLISE","",49.37387,3.45184,,,0,,,
02:00848,02:00848,"AUGY - VILLAGE ABRI","",49.33826,3.51346,,,0,,,
02:00855,02:00855,"BAZOCHES S/ V. - PLACE","",49.30666,3.61828,,,0,,,
02:00863,02:00863,"WATIGNY - PLACE ABRI","",49.90353,4.19444,,,0,,,
02:00865,02:00865,"ST MICHEL - COQ HARDI ABRI","",49.91764,4.12817,,,0,,,
02:00866,02:00866,"ST MICHEL - ALOUETTE ABRI","",49.9148,4.1144,,,0,,,
02:00869,02:00869,"LOGNY LES A. - MAIRIE ABRI","",49.8278,4.21119,,,0,,,
02:00871,02:00871,"LEUZE - ECOLE","",49.85173,4.16147,,,0,,,
02:00872,02:00872,"MARTIGNY - ABRI","",49.85969,4.13766,,,0,,,
02:00883,02:00883,"CHAOURSE - ABRI RUE DES CHENES","",49.69893,3.99495,,,0,,,
02:00885,02:00885,"AGNICOURT ET S. - X RUE MORENZY","",49.72371,3.95833,,,0,,,
02:00886,02:00886,"ST PIERREMONT - ABRI","",49.72359,3.88051,,,0,,,
02:00888,02:00888,"BOSMONT S/ S. - PLACE","",49.73147,3.85823,,,0,,,
02:00890,02:00890,"MONTIGNY /S M. -FACE ABRI PL VERD","",49.74777,3.79123,,,0,,,
02:00894,02:00894,"CHATILLON LES S-ABRI 7 RUE EGLISE","",49.75977,3.68446,,,0,,,
02:00899,02:00899,"PLEINE SELVE - RUE DES BATISSEURS","",49.79268,3.52989,,,0,,,
02:00900,02:00900,"PLEINE SELVE - ABRI GRAND COURT","",49.79091,3.52544,,,0,,,
