service_id,date,exception_type
000051,20231024,1
000051,20231025,1
000051,20231026,1
000051,20231030,1
000051,20231031,1
000051,20231102,1
000051,20231106,1
000051,20231107,1
000051,20231108,1
000051,20231109,1
000051,20231120,1
000051,20231121,1
000051,20231122,1
000051,20231123,1
000051,20231127,1
000051,20231128,1
000051,20231129,1
000051,20231130,1
000051,20231204,1
000051,20231205,1
000051,20231206,1
000051,20231207,1
000052,20231020,1
000052,20231027,1
000052,20231103,1
000052,20231110,1
000052,20231113,1
000052,20231114,1
000052,20231115,1
000052,20231116,1
000052,20231117,1
000052,20231124,1
000052,20231201,1
000052,20231208,1
000053,20231014,1
000053,20231104,1
000053,20231111,1
000053,20231118,1
000053,20231125,1
000053,20231202,1
000053,20231209,1
000054,20231014,1
000054,20231015,1
000054,20231101,1
000054,20231104,1
000054,20231111,1
000054,20231112,1
000054,20231118,1
000054,20231119,1
000054,20231125,1
000054,20231126,1
000054,20231202,1
000054,20231203,1
000054,20231209,1
000055,20231021,1
000055,20231022,1
000056,20231105,1
000057,20231014,1
000057,20231101,1
000057,20231104,1
000057,20231111,1
000057,20231112,1
000057,20231118,1
000057,20231119,1
000057,20231125,1
000057,20231126,1
000057,20231202,1
000057,20231203,1
000057,20231209,1
000058,20231015,1
000059,20231104,1
000060,20231014,1
000060,20231015,1
000060,20231101,1
000060,20231111,1
000060,20231112,1
000060,20231118,1
000060,20231119,1
000060,20231125,1
000060,20231126,1
000060,20231202,1
000060,20231203,1
000060,20231209,1
000061,20231104,1
000061,20231105,1
000062,20231210,1
000062,20231211,1
000062,20231212,1
000062,20231213,1
000062,20231214,1
000062,20231215,1
000062,20231216,1
000062,20231217,1
000062,20231218,1
000062,20231219,1
000062,20231220,1
000062,20231221,1
000062,20231222,1
000062,20231223,1
000062,20231224,1
000062,20231225,1
000062,20231226,1
000062,20231227,1
000062,20231228,1
000062,20231229,1
000062,20231230,1
000062,20231231,1
000062,20240101,1
000062,20240102,1
000062,20240103,1
000062,20240104,1
000062,20240105,1
000062,20240106,1
000062,20240107,1
000062,20240108,1
000062,20240109,1
000062,20240110,1
000062,20240111,1
000063,20231020,1
000063,20231027,1
000063,20231103,1
000063,20231110,1
000063,20231117,1
000063,20231124,1
000063,20231201,1
000063,20231208,1
000064,20231015,1
000064,20231016,1
000064,20231017,1
000064,20231018,1
000064,20231019,1
000064,20231020,1
000064,20231022,1
000064,20231023,1
000064,20231024,1
000064,20231025,1
000064,20231026,1
000064,20231027,1
000064,20231029,1
000064,20231030,1
000064,20231031,1
000064,20231101,1
000064,20231102,1
000064,20231103,1
000064,20231105,1
000064,20231106,1
000064,20231107,1
000064,20231108,1
000064,20231109,1
000064,20231110,1
000064,20231112,1
000064,20231113,1
000064,20231114,1
000064,20231115,1
000064,20231116,1
000064,20231117,1
000064,20231119,1
000064,20231120,1
000064,20231121,1
000064,20231122,1
000064,20231123,1
000064,20231124,1
000064,20231126,1
000064,20231127,1
000064,20231128,1
000064,20231129,1
000064,20231130,1
000064,20231201,1
000064,20231203,1
000064,20231204,1
000064,20231205,1
000064,20231206,1
000064,20231207,1
000064,20231208,1
000065,20231014,1
000065,20231015,1
000065,20231016,1
000065,20231017,1
000065,20231018,1
000065,20231019,1
000065,20231020,1
000065,20231022,1
000065,20231023,1
000065,20231024,1
000065,20231025,1
000065,20231026,1
000065,20231027,1
000065,20231029,1
000065,20231030,1
000065,20231031,1
000065,20231101,1
000065,20231102,1
000065,20231103,1
000065,20231105,1
000065,20231106,1
000065,20231107,1
000065,20231108,1
000065,20231109,1
000065,20231110,1
000065,20231111,1
000065,20231112,1
000065,20231113,1
000065,20231114,1
000065,20231115,1
000065,20231116,1
000065,20231117,1
000065,20231118,1
000065,20231119,1
000065,20231120,1
000065,20231121,1
000065,20231122,1
000065,20231123,1
000065,20231124,1
000065,20231125,1
000065,20231126,1
000065,20231127,1
000065,20231128,1
000065,20231129,1
000065,20231130,1
000065,20231201,1
000065,20231202,1
000065,20231203,1
000065,20231204,1
000065,20231205,1
000065,20231206,1
000065,20231207,1
000065,20231208,1
000065,20231209,1
000066,20231015,1
000066,20231022,1
000066,20231029,1
000066,20231101,1
000066,20231105,1
000066,20231112,1
000066,20231119,1
000066,20231126,1
000066,20231203,1
000067,20231016,1
000067,20231017,1
000067,20231018,1
000067,20231019,1
000067,20231020,1
000067,20231023,1
000067,20231024,1
000067,20231025,1
000067,20231026,1
000067,20231027,1
000067,20231030,1
000067,20231031,1
000067,20231102,1
000067,20231103,1
000067,20231106,1
000067,20231107,1
000067,20231108,1
000067,20231109,1
000067,20231110,1
000067,20231113,1
000067,20231114,1
000067,20231115,1
000067,20231116,1
000067,20231117,1
000068,20231120,1
000068,20231121,1
000068,20231122,1
000068,20231123,1
000068,20231124,1
000068,20231127,1
000068,20231128,1
000068,20231129,1
000068,20231130,1
000068,20231201,1
000068,20231204,1
000068,20231205,1
000068,20231206,1
000068,20231207,1
000068,20231208,1
000069,20240108,1
